RESPONDENT_ID,V1_x,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
572,2010,2.0,1.0,1.0,1.0,4.0,5.0,1.0
573,2010,0.0,0.0,1.0,1.0,5.0,5.0,5.0
574,2010,3.0,0.0,1.0,0.0,4.0,5.0,4.0
579,2010,2.0,1.0,1.0,1.0,1.0,,
580,2010,1.0,1.0,1.0,1.0,4.0,3.0,5.0
581,2010,0.0,0.0,0.0,1.0,1.0,1.0,4.0
585,2010,2.0,,,,2.0,2.0,5.0
586,2010,3.0,1.0,1.0,1.0,1.0,3.0,4.0
589,2010,0.0,1.0,1.0,1.0,3.0,3.0,4.0
592,2010,3.0,0.0,1.0,0.0,4.0,3.0,5.0
593,2010,2.0,0.0,0.0,1.0,1.0,1.0,5.0
595,2010,1.0,,,,4.0,4.0,5.0
603,2010,2.0,0.0,1.0,1.0,,,
607,2010,3.0,1.0,1.0,1.0,2.0,3.0,4.0
608,2010,0.0,0.0,1.0,0.0,4.0,4.0,4.0
611,2010,2.0,0.0,0.0,1.0,2.0,,
612,2010,3.0,0.0,1.0,1.0,1.0,1.0,5.0
621,2010,3.0,1.0,1.0,1.0,4.0,4.0,5.0
623,2010,1.0,1.0,0.0,1.0,1.0,1.0,5.0
627,2010,2.0,1.0,1.0,1.0,2.0,2.0,4.0
633,2010,2.0,,,,4.0,4.0,4.0
635,2010,1.0,1.0,0.0,1.0,4.0,1.0,4.0
636,2010,2.0,1.0,0.0,1.0,4.0,1.0,5.0
637,2010,2.0,0.0,1.0,1.0,4.0,3.0,3.0
639,2010,1.0,1.0,1.0,1.0,4.0,4.0,4.0
643,2010,3.0,,,,2.0,4.0,2.0
644,2010,2.0,0.0,1.0,1.0,3.0,4.0,5.0
646,2010,2.0,1.0,1.0,1.0,1.0,5.0,5.0
647,2010,1.0,0.0,1.0,1.0,2.0,3.0,4.0
648,2010,0.0,0.0,0.0,1.0,1.0,1.0,5.0
652,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
653,2010,2.0,0.0,1.0,1.0,1.0,1.0,5.0
656,2010,2.0,1.0,1.0,1.0,1.0,4.0,5.0
657,2010,1.0,,,,2.0,4.0,4.0
659,2010,0.0,1.0,1.0,1.0,2.0,3.0,4.0
660,2010,3.0,0.0,1.0,1.0,2.0,1.0,5.0
664,2010,2.0,1.0,1.0,1.0,1.0,1.0,5.0
667,2010,2.0,,,,2.0,4.0,4.0
673,2010,3.0,0.0,1.0,1.0,2.0,2.0,5.0
674,2010,2.0,0.0,0.0,1.0,1.0,1.0,5.0
676,2010,2.0,,,,5.0,5.0,5.0
677,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
680,2010,2.0,0.0,1.0,1.0,3.0,4.0,4.0
683,2010,3.0,1.0,1.0,1.0,2.0,3.0,5.0
684,2010,3.0,1.0,0.0,1.0,1.0,2.0,5.0
686,2010,2.0,0.0,1.0,1.0,4.0,3.0,4.0
688,2010,2.0,1.0,1.0,1.0,4.0,5.0,4.0
692,2010,2.0,,,,1.0,4.0,5.0
693,2010,2.0,,,,3.0,5.0,3.0
698,2010,4.0,0.0,0.0,0.0,5.0,4.0,4.0
699,2010,1.0,1.0,1.0,1.0,3.0,3.0,3.0
701,2010,1.0,0.0,1.0,1.0,4.0,4.0,4.0
703,2010,1.0,1.0,1.0,1.0,3.0,2.0,4.0
705,2010,1.0,,,,2.0,3.0,4.0
708,2010,2.0,0.0,1.0,1.0,,,
713,2010,1.0,1.0,1.0,1.0,5.0,3.0,4.0
714,2010,3.0,0.0,0.0,1.0,,,
716,2010,2.0,1.0,0.0,1.0,1.0,3.0,5.0
719,2010,2.0,1.0,1.0,1.0,2.0,2.0,1.0
721,2010,1.0,0.0,1.0,1.0,4.0,2.0,5.0
722,2010,2.0,1.0,1.0,0.0,3.0,5.0,5.0
725,2010,2.0,,,,1.0,1.0,5.0
726,2010,2.0,0.0,1.0,0.0,3.0,4.0,4.0
727,2010,2.0,0.0,0.0,0.0,1.0,4.0,4.0
730,2010,0.0,1.0,1.0,1.0,5.0,5.0,5.0
735,2010,0.0,1.0,1.0,0.0,1.0,2.0,4.0
737,2010,1.0,1.0,1.0,1.0,,,
739,2010,4.0,1.0,1.0,1.0,1.0,4.0,4.0
741,2010,1.0,0.0,0.0,1.0,,,
745,2010,3.0,1.0,0.0,1.0,3.0,1.0,5.0
747,2010,1.0,1.0,1.0,0.0,1.0,2.0,5.0
750,2010,1.0,1.0,1.0,1.0,1.0,2.0,5.0
754,2010,3.0,1.0,1.0,1.0,4.0,5.0,5.0
755,2010,3.0,1.0,1.0,1.0,1.0,4.0,4.0
758,2010,2.0,1.0,1.0,1.0,2.0,1.0,5.0
760,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
761,2010,2.0,1.0,1.0,1.0,3.0,3.0,4.0
766,2010,2.0,1.0,1.0,1.0,4.0,5.0,1.0
767,2010,1.0,0.0,0.0,1.0,1.0,3.0,5.0
770,2010,0.0,0.0,1.0,1.0,5.0,3.0,4.0
771,2010,3.0,0.0,1.0,1.0,2.0,4.0,4.0
772,2010,1.0,1.0,0.0,1.0,1.0,1.0,4.0
775,2010,2.0,,,,1.0,1.0,4.0
776,2010,2.0,1.0,1.0,1.0,2.0,4.0,3.0
