RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50117,2021,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0
50120,2021,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0
50121,2021,1.0,4.0,1.0,1.0,1.0,2.0,5.0,3.0
50122,2021,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
50128,2021,0.0,3.0,1.0,1.0,1.0,1.0,,
50129,2021,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0
50134,2021,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0
50136,2021,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0
50140,2021,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0
50141,2021,1.0,3.0,0.0,0.0,1.0,5.0,5.0,4.0
50146,2021,1.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0
50147,2021,1.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0
50148,2021,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0
50150,2021,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0
50153,2021,0.0,2.0,0.0,1.0,1.0,1.0,1.0,5.0
50154,2021,0.0,2.0,0.0,1.0,1.0,1.0,3.0,4.0
50155,2021,1.0,4.0,1.0,0.0,1.0,5.0,5.0,5.0
50157,2021,1.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0
50160,2021,1.0,4.0,1.0,1.0,1.0,2.0,4.0,5.0
50161,2021,0.0,3.0,1.0,1.0,1.0,3.0,5.0,4.0
50162,2021,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0
50163,2021,1.0,4.0,0.0,1.0,1.0,4.0,4.0,4.0
50164,2021,1.0,3.0,0.0,0.0,1.0,4.0,2.0,4.0
50165,2021,0.0,4.0,1.0,1.0,1.0,2.0,3.0,4.0
50166,2021,0.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0
50169,2021,0.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0
50171,2021,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0
50174,2021,1.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0
50175,2021,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0
50176,2021,0.0,3.0,0.0,1.0,1.0,3.0,4.0,3.0
50177,2021,0.0,4.0,1.0,1.0,1.0,2.0,4.0,4.0
50179,2021,1.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0
50180,2021,1.0,2.0,1.0,1.0,1.0,,,
50181,2021,0.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0
50182,2021,0.0,2.0,1.0,1.0,1.0,,,
50183,2021,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0
50184,2021,1.0,4.0,1.0,1.0,1.0,1.0,4.0,
50186,2021,1.0,4.0,0.0,1.0,1.0,5.0,5.0,5.0
50190,2021,0.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0
50192,2021,0.0,3.0,0.0,0.0,1.0,4.0,3.0,1.0
50194,2021,1.0,4.0,1.0,0.0,1.0,5.0,4.0,2.0
50196,2021,1.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0
50199,2021,1.0,3.0,0.0,1.0,0.0,3.0,2.0,3.0
50203,2021,1.0,4.0,0.0,1.0,1.0,4.0,4.0,4.0
50206,2021,0.0,1.0,0.0,1.0,1.0,5.0,2.0,3.0
50208,2021,0.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0
50209,2021,0.0,2.0,0.0,0.0,1.0,3.0,3.0,3.0
50215,2021,1.0,4.0,0.0,0.0,1.0,1.0,1.0,5.0
50218,2021,1.0,3.0,1.0,0.0,1.0,3.0,3.0,4.0
50221,2021,0.0,2.0,1.0,1.0,1.0,5.0,1.0,4.0
50222,2021,0.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0
50223,2021,0.0,2.0,1.0,1.0,1.0,3.0,3.0,5.0
50225,2021,0.0,4.0,0.0,0.0,1.0,5.0,2.0,5.0
50226,2021,0.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0
50228,2021,1.0,1.0,0.0,1.0,1.0,4.0,4.0,2.0
50230,2021,1.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0
50233,2021,1.0,1.0,0.0,1.0,1.0,2.0,1.0,5.0
50234,2021,0.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0
50235,2021,1.0,2.0,1.0,1.0,1.0,4.0,4.0,5.0
50236,2021,1.0,4.0,1.0,1.0,1.0,3.0,1.0,2.0
50239,2021,1.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0
